PLATFORM,PRACTICE,YEAR-MONTH,TRAIN/TEST,HORIZON,ACTUAL,Value_1_Year_Expected_Inflation_mom_abs,Value_2_Year_Expected_Inflation,30Y Interest Rate and Bond Yield__regressor,Accenture__regressor_mom_pct,Adobe__regressor,Amazon__regressor_mom_abs,Anaplan__regressor_ma3,Average Deal Value Series__regressor_ma3,Consumer Price Index__regressor,CyberArk__regressor_ma3,FTI Consulting__regressor,Fiserv__regressor_ma3,Genpact__regressor_ma3,Globant__regressor_mom_pct,Google__regressor_ma3,Value_Gross_Domestic_Product_Research_and_Development_ma3,Value_Harmonized_Index_of_Consumer_Prices_All_Items_for_United_States,Huron Consulting__regressor_ma3,IBM__regressor_mom_abs,Value_Imports_of_Goods_and_Services,Industrial_Sector__regressor_ma3,Infosys__regressor_mom_pct,Interest Rate Long Term__regressor,Market Capitalized of S&P 500 Stocks__regressor_ma3,Marsh & McLennan__regressor,Nominal GDP Growth__regressor_ma3,Oracle__regressor,Pharmaceuticals_Sector__regressor_ma3,Value_Real_Gross_Domestic_Product_Research_and_Development_ma3,Retail_Sector__regressor_ma3,S&P 500 Dividends__regressor_ma3,S&P 500 Dividends/Share__regressor_ma3,S&P 500 Equity Risk __regressor_ma3,S&P 500 Index Value__regressor_ma3,S&P 500 Price Per Share__regressor_ma3,S&P 500 Price Per Share J__regressor_ma3,S&P500 Dividends__regressor,SAP__regressor_mom_abs,Salesforce__regressor_mom_pct,Value_US_Real_GDP_ma3,Workday__regressor_ma3,Workiva__regressor,Zuora__regressor_ma3,nCino__regressor
"Cyber, Risk & Reg",All Practice,2021-10-01,TRAIN,6,164296903.651363,0.240879269999999,1.55547772,2.09565842293906,0.0133600323229337,3875.06595441595,-4496.68003663004,127.557758920092,270.114831800244,268.515491242815,123.944711992945,684.548554253154,3787.68513091846,948.463761375661,0.0487156113678803,55995.6957264957,812.227666666666,110.71,202.038676597476,3209.00934065934,3340.114,23271.5364247202,0.0103413245146628,1.56259761226427,35358.25000601,5043.31149776149,12.2743751913462,10136.6248473748,6472.56612914147,728.761,35300.427086266,494.866982622433,14.6296737213403,2.64159031297179,4071.98528892652,3981.47163365422,4181.25765113324,58.4068163077964,-314.225702075701,0.0106387584998868,21168.5876666666,1161.55457811694,103.744125925925,80.0852460181793,62.2892809930809
"Cyber, Risk & Reg",All Practice,2021-11-01,TRAIN,6,159003381.81,0.11348998,1.60378084,2.0242490461325,0.0287575855615693,3881.15384615384,371.767948717955,130.812869217202,275.827951278186,269.988903590436,117.454219664903,694.864681318681,3804.32833401166,952.248232010582,0.0440843002921418,56392.2188034188,819.630333333333,111.77,206.167053764753,896.573076923075,3340.114,23384.2895504076,0.0146159138842005,1.50432234432234,35987.9298700348,5060.51648351648,14.4033924161787,10474.0329670329,7248.43601360332,734.995,31370.4521278685,497.082167358306,14.6929805996472,2.61887749556838,4169.90138317704,4114.16977501656,4255.09661630893,59.0253741051638,26.5773504273502,0.0191014242616918,21278.7963333333,1180.79667337539,104.687,81.0141320173653,63.7735054945055
"Cyber, Risk & Reg",All Practice,2021-12-01,TRAIN,6,133345933.76,0.18698125,1.70412347,1.95285842293906,0.0315521643208864,3857.6923076923,1529.02197802197,134.890238570071,299.753446255181,271.418946074392,114.933092680776,703.313851648351,3862.45409713743,961.222493915343,0.0416837353957926,57695.3726495726,827.033,113.0,212.770539112739,346.895604395605,3340.114,23486.5344697275,0.0154316182766403,1.41382783882783,36345.8974511793,5038.3956043956,14.3383480236395,10856.7912087912,7260.47575510368,741.229,31634.7087228874,502.88028397291,14.8543562610229,2.65429498917366,4259.52303030238,4220.64267757351,4294.59146433547,59.7950206951351,107.58791208791,0.0207434333958722,21389.005,1204.83547068918,105.1445,82.5171515533848,65.1691318681318
"Cyber, Risk & Reg",All Practice,2022-01-01,TRAIN,6,154308061.739999,0.0179275299999996,1.72471671,1.74826951092611,0.0256382773348213,3844.76912288272,1104.44161028313,139.549015255665,347.229922438906,272.93178424436,115.781114940225,709.618930860163,3951.19209962548,974.186160989781,0.0402476442170895,59681.5191498543,833.192,113.6,220.715892285601,222.524721421634,3458.783,23555.6265578281,0.0159445277500345,1.35061526131652,36534.1392593042,4993.60980534192,12.5527704475391,11075.7960482715,7941.62472218614,744.757333333333,32646.886997723,511.421120335083,15.09167902224,2.73127122224365,4340.01793760814,4304.1836351794,4312.55992815378,60.4628942378564,98.4221213569053,0.0217298097022204,21449.8103333333,1232.30140760548,105.955357643758,84.4190854923477,66.5220073825193
"Cyber, Risk & Reg",All Practice,2022-02-01,TRAIN,6,158206873.71,0.38929647,1.87371462,1.64352063822407,0.00794049318039547,3869.78260869565,-414.421065610411,144.013753589794,373.091026015273,274.799765950819,117.270290923662,708.265826086956,4029.2325519268,986.630293494957,0.0401317546107833,61500.0163627863,839.351,113.81,225.921388065184,-224.046221660526,3458.783,23515.0986773248,0.0186147672896139,1.39521739130434,37010.7300692721,4866.04347826086,11.1940786955121,10705.6086956521,8192.31668376633,748.285666666666,39501.415300957,519.217267920176,15.3131386495692,2.77848554155035,4413.53753153527,4387.49494862604,4366.31815878574,60.7356566672449,66.8557095078831,0.0266045598508533,21510.6156666666,1258.81156782208,108.058652173913,86.0905210712616,67.742304347826
"Cyber, Risk & Reg",All Practice,2022-03-01,TRAIN,6,177916308.88,0.22172454,2.00717467,1.65678136200716,0.00387058532829276,3902.93478260869,-751.891304347824,148.07687215963,371.249801137376,276.719079191798,118.742433004407,705.196597826086,4086.58021875272,997.427189198891,0.0381347638423978,62942.7719369223,845.51,114.06,227.443926267923,-321.244565217391,3458.783,23349.1634760218,0.0185652771828572,1.4659420289855,37885.3778924656,4722.16304347826,10.8171591996331,10208.6576086956,8235.29350290575,751.814,38581.599030301,525.330833712722,15.4938684632338,2.77777069455349,4480.26416686868,4419.28012903225,4469.63797770806,60.903888156123,58.3478260869569,0.0265851243966825,21571.421,1283.18190215079,110.414445652173,87.3770963420053,68.9082663043478
"Cyber, Risk & Reg",All Practice,2022-04-01,TRAIN,6,158754585.749999,-0.82976958,1.61472482,1.77621123829344,0.0102734278835561,3940.71528751753,1029.58415147264,151.737164095371,351.241598152753,278.658323187633,120.722211722767,701.094387798036,4126.71669004207,1007.47855276998,0.0369967668806052,64223.0830995792,854.228999999999,115.12,226.594533017765,-48.9135694249635,3685.956,23092.8724609202,0.0187923636767359,1.54732585320243,38980.6410174079,4639.25315568022,11.2010388442154,9843.21283309958,9068.00879918428,757.8,37600.7935223551,530.076283030294,15.641695885928,2.73924489105963,4535.48039422051,4468.64448098046,4601.146678195,61.1648662294751,117.590462833099,0.0253436339396311,21701.0766666666,1305.43996809256,112.830962833099,88.3241004558204,70.1607471949509
"Cyber, Risk & Reg",All Practice,2022-05-01,TRAIN,6,155789845.95,0.625472949999999,1.9874101,1.78152616487455,0.0327095197081366,3994.91847826086,7350.78541374474,154.970376051893,373.464079113857,280.67548397823,125.063401940158,693.326853260869,4161.79277699859,1019.93387885694,0.0365762085065559,66091.9254908835,862.948,115.7,228.036201496026,917.397265077139,3685.956,22872.15977198,0.0204151821130327,1.67038043478261,39595.9163791839,4772.68478260869,11.4785636118597,9944.39130434782,9378.26804550591,763.786,30396.7673019075,534.65889728899,15.7864603786816,2.70272837716874,4560.41820838618,4515.32682926735,4676.4594576776,61.7884254815056,327.800841514726,0.0228034178989053,21830.7323333333,1325.56234852734,115.462945652173,89.0872634992987,71.7202228260869
"Cyber, Risk & Reg",All Practice,2022-06-01,TRAIN,6,169582942.43,0.14046811,2.04889372,1.69254908081859,0.0367413258209214,4052.93478260869,8818.47826086956,157.795484747545,390.483392684655,282.712575523684,132.206171867695,684.708282608695,4194.87973352033,1035.58606907433,0.0354870475951398,68730.8928821879,871.667,116.02,232.83795330762,1141.76086956521,3685.956,22714.3420342264,0.0204548720705568,1.80409420289855,39560.6791404278,4956.34782608695,11.4320476301419,10153.9130434782,9494.14744169207,769.772,29650.4511854481,539.417223241164,15.936750233754,2.67807499304987,4550.68588648186,4614.54203148726,4675.03448664323,62.5047313180102,376.608695652173,0.0218605669985394,21960.388,1343.69294635343,118.144956521739,89.7088667601683,73.3509782608695
"Cyber, Risk & Reg",All Practice,2022-07-01,TRAIN,6,135393309.069999,-0.378550129999999,1.89256809,1.7957630939993,0.0297790743200596,4110.69126538881,5998.81620695027,160.287194074333,372.660181396645,284.832847743672,140.571959130694,680.542140478416,4222.08223209183,1052.69880350631,0.0321550450467322,71651.3647304036,880.501666666666,117.14,240.165909959222,790.365373227363,3925.742,22644.9322375433,0.0170962806422447,1.97414679756895,38897.8931790675,5134.82376499922,11.1158650649742,10337.519775596,8779.15168267473,773.664,29769.3774443951,544.286055747007,16.0909567684795,2.66770564751694,4507.59147660909,4609.85949593402,4599.59749288647,63.2831466193758,236.475237649992,0.0185087448579277,21941.542,1360.51607475196,120.932558095683,90.2405514440808,75.9196260012466
"Cyber, Risk & Reg",All Practice,2022-08-01,TRAIN,6,184111176.59,0.385660349999999,2.14411316,1.98446812596006,0.00678791294236091,4161.51111111111,-4430.72538569424,162.626170523609,369.593392643986,287.037920240926,144.402675998649,692.290605555555,4229.24471196301,1064.65943539036,0.0207722059244295,73062.5576047997,889.336333333333,118.38,246.817570385954,-513.866339410937,3925.742,22751.2791804512,0.00497425224648373,2.2645,37739.3771751639,5276.62222222222,10.7562726836424,10411.85,7546.32251361771,777.556,34150.8968302223,548.836289545123,16.2372035478676,2.68069594394296,4438.76137572324,4549.14404008308,4465.66061956383,64.2134777063077,-275.418232819074,0.00642916141427329,21922.6959999999,1377.84041476806,123.796061111111,90.8442242299101,81.4806444444444
"Cyber, Risk & Reg",All Practice,2022-09-01,TRAIN,6,194665207.049999,0.43028,2.37197211,2.07175372875476,0.00178265733933646,4211.33333333333,-6872.84444444443,164.863018349696,374.654865776479,289.292778469347,142.35344653005,707.823666666666,4213.01765882291,1069.95308756428,0.0182557026225935,72546.6807932055,898.171,120.29,252.069683912524,-818.788888888888,3925.742,23054.8387124101,0.00230820390438557,2.589,36111.8422735261,5411.66666666666,10.4096695522287,10462.0,7430.585498399,781.448,35677.7945241175,552.975757541355,16.3730304399771,2.71953668324209,4345.74626830822,4464.17116654558,4276.37671316687,65.1941755394693,-395.955555555556,0.0037881506044799,21903.85,1396.15679641057,126.710333333333,91.5602483844995,87.7923333333333
"Cyber, Risk & Reg",All Practice,2022-10-01,TRAIN,6,192715084.53,0.33520458,2.67083134,2.39768136200716,0.00585768713397083,4261.10443630443,-5582.54147334148,166.895,410.870294179306,291.456574910171,136.15108389635,722.913687199837,4185.67178130511,1070.1870070818,0.0194398870354179,70599.0884818884,907.519,121.01,256.201366368199,-620.097232397232,4093.663,23494.0899469776,0.00421559964885487,2.88071672771672,34161.467894844,5516.9107041107,10.0777807402382,10582.5562271062,9099.55358880177,787.092333333333,35551.6782031401,556.564414661831,16.4942471849138,2.77873039247033,4235.75267409786,4353.11118346468,4049.04670915917,66.1725469214593,-312.47391127391,0.00567253141977741,21908.974,1416.18841353954,129.30641048026,92.432030375797,93.4943027269027
"Cyber, Risk & Reg",All Practice,2022-11-01,TRAIN,6,193989665.496,0.241754439999999,2.87671049,2.7457669094693,0.0210525372762648,4304.24175824175,224.966381766382,168.323,398.285296683314,292.915726023786,132.592136358703,734.307164835164,4194.87627865961,1071.69311074481,0.0224489804949914,69177.3875050875,916.867,122.53,260.299351207434,243.232763532761,4093.663,23826.187976645,0.0111631330579342,2.98824175824175,32534.7348318047,5491.08791208791,9.76980082351953,10965.0549450549,10457.8873383605,792.736666666666,35371.7313292987,559.000782101245,16.5826920363587,2.83377750517349,4140.78819019001,4236.72136236646,3860.1533842345,67.0012771188645,56.9720797720801,0.0123534384987238,21914.098,1440.56848159001,130.312736263736,93.6176710554877,96.0560109890109
"Cyber, Risk & Reg",All Practice,2022-12-01,TRAIN,6,157872831.179999,0.592055519999999,3.18112765,2.8847275985663,0.024163826771153,4345.80219780219,1605.43956043956,169.043,379.035200672436,294.190052133543,133.278539899606,744.821956043956,4251.9397707231,1075.93119865689,0.0227418434841066,68741.8307285307,926.215,124.45,264.596209571292,448.45054945055,4093.663,23992.9440390742,0.0126772842935494,3.04745421245421,31406.2789118627,5434.10989010989,9.48969511624028,11409.8186813186,10457.5716965503,798.381,36309.5211223339,560.107465367619,16.6329700176366,2.87819260127833,4069.54885502977,4058.50220751917,3730.34374080363,67.7907571694933,144.791208791209,0.0137789116640838,21919.222,1469.8547703568,130.94117032967,95.1523584791751,97.8712637362637
"Cyber, Risk & Reg",All Practice,2023-01-01,TRAIN,6,168141708.559999,-0.917435669999999,2.67646389,2.94285466527922,0.0163302402256244,4382.52679438373,1668.65408504537,169.159,354.538744226251,295.413197775528,137.446244226787,754.667567899141,4343.76744807319,1082.45498008723,0.02244786326749,69095.3182600475,931.961666666666,124.2,268.992918633026,276.788634927484,3988.447,24026.0621468398,0.0117483640858326,3.13722628937215,30788.4280160742,5350.15598847155,9.21217402909375,11747.4160411818,8126.06439914664,802.279,37691.2156046677,560.500918341294,16.6632161223535,2.90427962691793,4019.69497097741,4005.58384165799,3661.10102006633,68.3234422672073,134.686188986328,0.0120091739922623,21968.4093333333,1502.20937011492,131.532849005132,96.8986849508602,99.69845656027
"Cyber, Risk & Reg",All Practice,2023-02-01,TRAIN,6,170970122.769999,0.0678539499999999,2.6593637,2.79190183836281,-0.0095398161738216,4402.34782608695,1924.84376493071,169.159,324.573435756948,296.452192260463,141.890487577639,762.252173913043,4420.22293461564,1089.54328077205,0.0230644993753186,69394.4767247712,937.708333333333,123.88,273.307242569959,-340.084860441102,3988.447,24066.4114834801,0.0090465102333852,3.35039855072464,30615.9698207529,5167.17391304347,8.81855021285077,11702.6086956521,6837.68664156969,806.177,38265.3835691395,562.860420285648,16.7530353610858,2.88467881215783,3975.51207977999,3955.01985391374,3644.98049883111,67.840284880718,100.314288796757,0.00640072119081613,22017.5966666666,1531.77787146864,132.001173913043,98.3904982969345,101.598826086956
"Cyber, Risk & Reg",All Practice,2023-03-01,TRAIN,6,187492226.93,0.80201804,3.18169492,3.01888637992831,-0.0153251389113252,4417.92934782608,1945.03804347827,169.159,324.151755395359,297.424073793477,145.828137780697,769.172027173913,4469.33577105456,1096.73750083098,0.0223449561010677,69441.0824143715,943.455,123.93,277.469410172284,-473.744565217391,3988.447,24146.5346218365,0.00820926285160039,3.59019927536232,30865.3802772851,4965.27717391304,8.28295139973093,11571.6576086956,6878.15034976145,810.075,39118.4358470069,567.825590591159,16.9212783137853,2.8132816876936,3933.14867607483,3886.5854662196,3679.23231873484,67.1122672564655,90.505434782608,0.00499801115991394,22066.784,1557.04239852311,132.432152173913,99.5131870809765,103.478222826086
